"Gen","ID","Fitness"
"332",1,"i 2",23960
"333",1,"i 3",21100
"334",1,"i 4",10510
"335",1,"i 5",13960
"336",1,"i 6",23090
"337",1,"i 7",14070
"338",1,"i 8",23510
"339",1,"i 9",14830
"340",1,"i 10",13230
"341",1,"i 1",15630
"342",1,"i 2",23960
"343",1,"i 3",21100
"344",1,"i 4",10510
"345",1,"i 5",14580
"346",1,"i 6",23090
"347",1,"i 7",14070
"348",1,"i 8",23510
"349",1,"i 9",14830
"350",1,"i 10",13230
"351",1,"i 1",15630
"352",1,"i 2",23960
"353",1,"i 3",21100
"354",1,"i 4",10510
"355",1,"i 5",14380
"356",1,"i 6",23090
"357",1,"i 7",14070
"358",1,"i 8",23510
"359",1,"i 9",14830
"360",1,"i 10",13230
"361",1,"i 1",15630
"362",1,"i 2",23960
"363",1,"i 3",21100
"364",1,"i 4",10510
"365",1,"i 5",13960
"366",1,"i 6",23090
"367",1,"i 7",14070
"368",1,"i 8",23510
"369",1,"i 9",14830
"370",1,"i 10",13230
"371",1,"i 1",15630
"372",1,"i 2",23960
"373",1,"i 3",21100
"374",1,"i 4",10510
"375",1,"i 5",13960
"376",1,"i 6",23090
"377",1,"i 7",14070
"378",1,"i 8",23510
"379",1,"i 9",14830
"380",1,"i 10",13230
"381",1,"i 1",15630
"382",1,"i 2",23960
"383",1,"i 3",21100
"384",1,"i 4",10510
"385",1,"i 5",13960
"386",1,"i 6",23090
"387",1,"i 7",14070
"388",1,"i 8",23510
"389",1,"i 9",14830
"390",1,"i 10",13230
"391",1,"i 1",15630
"392",1,"i 2",23960
"393",1,"i 3",21100
"394",1,"i 4",10510
"395",1,"i 5",13960
"396",1,"i 6",23090
"397",1,"i 7",14070
"398",1,"i 8",23510
"399",1,"i 9",14830
"400",1,"i 10",13230
"401",1,"i 1",15630
"402",1,"i 2",23960
"403",1,"i 3",21100
"404",1,"i 4",10510
"405",1,"i 5",13960
"406",1,"i 6",23090
"407",1,"i 7",14070
"408",1,"i 8",23510
"409",1,"i 9",14830
"410",1,"i 10",13230
"411",1,"i 1",15630
"412",1,"i 2",23960
"413",1,"i 3",21100
"414",1,"i 4",10510
"415",1,"i 5",13960
"416",1,"i 6",23090
"417",1,"i 7",14070
"418",1,"i 8",23510
"419",1,"i 9",14830
"420",1,"i 10",13230
"421",1,"i 1",15630
"422",1,"i 2",23960
"423",1,"i 3",21100
"424",1,"i 4",10510
"425",1,"i 5",13960
"426",1,"i 6",23090
"427",1,"i 7",14070
"428",1,"i 8",23320
"429",1,"i 9",14830
"430",1,"i 10",13230
"431",1,"i 1",15630
"432",1,"i 2",23960
"433",1,"i 3",21100
"434",1,"i 4",10510
"435",1,"i 5",14580
"436",1,"i 6",23090
"437",1,"i 7",14070
"438",1,"i 8",23510
"439",1,"i 9",14830
"440",1,"i 10",13230
"441",1,"i 1",15630
"442",1,"i 2",23960
"443",1,"i 3",21100
"444",1,"i 4",10510
"445",1,"i 5",13960
"446",1,"i 6",23090
"447",1,"i 7",14070
"448",1,"i 8",23510
"449",1,"i 9",14830
"450",1,"i 10",13230
"451",1,"i 1",15630
"452",1,"i 2",23960
"453",1,"i 3",21100
